Id,CardId,ItemId,Name,
1101,1,330000,Ganyu, Sguardo del plenilunio,
1102,2,330023,Diona, Barista Kätzlein,
1103,3,330001,Kaeya, Spadaccino della bufera,
1104,4,330002,Chongyun, Ardore ghiacciato,
1105,5,330003,Kamisato Ayaka, Airone dei ghiacci,
1106,6,330028,Eula, Danza dell'onda luccicante,
1107,7,330048,Shenhe: Trascendenza solitaria,
1108,8,330052,Qiqi "Rinascita glaciale",
1201,9,330025,Barbara, Idol sfavillante,
1202,10,330004,Xingqiu, Giovane paladino,
1203,11,330005,Mona, Riflesso astrale,
1204,12,330029,Tartaglia, Principe,
1205,13,330030,Sangonomiya Kokomi, Perla di saggezza,
1206,14,330031,Kamisato Ayato Pilastro della forza d'animo,
1207,15,330049,Voto dorato: Candace,
1208,16,330057,Nilou, Danza della luce di loto,
1301,17,330006,Diluc, Lato oscuro dell'alba,
1302,18,330007,Xiangling, Maestra culinaria di Liyue,
1303,19,330008,Bennett, Prova del fuoco,
1304,20,330009,Amber, Vigilante,
1305,21,330010,Yoimiya, Euforia di fuochi,
1306,22,330032,Klee "Sole fugace",
1307,23,330033,Hu Tao: Fragranza del disgelo,
1308,24,330050,Saggia innocenza: Yanfei,
1309,25,330055,Dehya, "Chiomardente",
1401,26,330011,"Fischl, Prinzessin der Verurteilung!" Fischl,
1402,27,330012,Razor, Ragazzo lupo,
1403,28,330013,Keqing, Dominatrice del tuono,
1404,29,330024,Cyno, Giustiziere dei segreti,
1405,30,330034,Beidou "Regina dei mari senza corona",
1406,31,330035,Kujou Sara, Kaburaya piumata,
1407,32,330036,Shogun Raiden, Piano dell'eutimia,
1408,33,330037,Yae Miko, Divertimento astuto,
1409,34,330053,Lisa, Strega della Rosa purpurea,
1410,35,330058,Dori, Tesoro del giardino dei sogni,
1501,36,330014,Sucrose, Dolcezza innocua,
1502,37,330015,Jean, Cavaliere del Dente di leone,
1503,38,330038,Venti, Bardo itinerante,
1504,39,330039,Xiao, Custode Yaksha,
1505,40,330051,Vortice delle foglie scarlatte: Kaedehara Kazuha,
1506,41,330054,Vagabondo, "Eternamente perduto",
1601,42,330016,Ningguang, Stella dell'eclissi,
1602,43,330017,Noelle, Fiore cavalleresco,
1603,44,330040,Zhongli, Vago mundo,
1604,45,330041,Albedo, Kreideprinz,
1605,46,330042,Arataki Itto, Eroe di Hanamizaka,
1701,47,330018,Collei, Germoglio di rinascita,
1702,48,330043,Tighnari, Vagabondo verdeggiante,
1703,49,330044,Nahida, Fisica della purezza,
1704,50,330056,Yaoyao, Grazia germogliante,
1705,51,330059,Baizhu, Mortalità trascesa,
2101,52,330045,"Cicin della nebbia vuota" Maga Cicin di Cryo,
2201,53,330019,Rhodeia, Signora delle acque limpide,
2202,54,330026,Emissaria dello specchio, Sacerdotessa di Snezhnaya,
2301,55,330020,Agente Lama del regolamento,
2302,56,330046,Cantore dell'Abisso: Fiamme imperscrutabili,
2401,57,330047,Ipostasi di Electro,
2501,58,330021,Maguu Kenki, Macchina ingegnosa,
2601,59,330022,Lawachurl Mantodipietra Traversavalli,
2701,60,330027,Fungostro Cresta di giada, Signore dei Miconoidi,
211011,61,330500,Ganyu: Cuore indivisibile,
211021,62,330523,Diona: Agitato, non "miaoscolato",
211031,63,330501,Kaeya: A sangue freddo,
211041,64,330502,Chongyun: Respiro regolare,
211051,65,330503,Kamisato Ayaka: Benedizione Kanten Senmyou,
211061,66,330528,Eula, Spirito belligerante,
211071,67,330540,Shenhe: Abbandono mistico,
211081,68,330552,Qiqi, Rito della rinascita,
212011,69,330525,Barbara: Stagione gloriosa,
212021,70,330504,Xingqiu: Aroma persistente,
212031,71,330505,Mona: Profezia sommersa,
212041,72,330541,Tartaglia: Hydrogetto,
212051,73,330529,Sangonomiya Kokomi, Scrigno di Tamakushi,
212061,74,330538,Kamisato Ayato: Kyouka Fuushi,
212071,75,330549,Candace: Trabocco,
212081,76,330557,Nilou, Cieli stellati e piogge di fiori,
213011,77,330506,Diluc: Corrente di fiamme,
213021,78,330507,Xiangling: Fuoco incrociato,
213031,79,330508,Bennett: Desiderio di avventura,
213041,80,330509,Amber: Situazione esplosiva,
213051,81,330510,Yoimiya: Sciame di meteoriti di Naganohara,
213061,82,330530,Klee: Batosta a sorpresa,
213071,83,330542,Hu Tao: Rosso sangue,
213081,84,330550,Yanfei: Verdetto finale,
213091,85,330554,Dehya: Onesta rettitudine,
214011,86,330511,Fischl: Predatore di stelle,
214021,87,330512,Razor: Risveglio,
214031,88,330513,Keqing: Penitenza del tuono,
214041,89,330524,Cyno: Giudizio della piuma cadente,
214051,90,330531,Beidou: Tempesta di fulmini,
214061,91,330537,Kujou Sara, Peccato d'orgoglio,
214071,92,330543,Shogun Raiden: Aspirazione infinita,
214081,93,330544,Yae Miko: L'ombra sacra del santuario,
214091,94,330553,Lisa, Strega pulsante,
214101,95,330558,Dori, Supplemento all'occorrenza,
215011,96,330514,Sucrose: Entropia caotica,
215021,97,330515,Jean: Regno dei denti di leone,
215031,98,330532,Venti: Venti avvolgenti,
215041,99,330533,Xiao: Conquistatore del male,
215051,100,330551,Kaedehara Kazuha: Poesia di Fuubutsu,
215061,101,330555,Vagabondo: Fantasticheria burrascosa,
216011,102,330516,Ningguang: Riserva strategica,
216021,103,330517,Noelle: Ti guardo le spalle,
216031,104,330534,Zhongli: Dominio della terra,
216041,105,330545,Albedo, Discesa divina,
216051,106,330539,Arataki Itto: Arataki Ichiban,
217011,107,330518,Collei: Brezza di ritorno floreale,
217021,108,330535,Tighnari: Vista acuta,
217031,109,330546,Nahida: Seme della conoscenza custodita,
217041,110,330556,Yaoyao: Bontà,
217051,111,330559,Baizhu, Tutto si origina dalla terra,
221011,112,330547,Maga Cicin di Cryo: Sguardo gelido della Cicin,
222011,113,330519,Mutevole,
222021,114,330526,Il segreto dello specchio,
223011,115,330520,Estrazione furtiva,
223021,116,330548,Cantore dell'Abisso: Soffio sulle braci,
224011,117,330536,Ipostasi di Electro: Prisma assimilante,
225011,118,330521,Marionetta spadaccina,
226011,119,330522,Forgiato dalla pietra,
227011,120,330527,Nuvola di polvere fungina,
311101,121,331000,Flagello della tempesta e delle maree: Manuale di magia,
311102,122,331001,Compostezza: Frammenti sacrificali,
311103,123,331002,Atlante delle nuvole: Atlante celeste,
311104,124,331038,Canto delle mille notti: Mille sogni fluttuanti,
311105,125,331052,La luna piena: Frutto della sazietà,
311201,126,331003,Flagello delle fiamme e dell'acqua: Arco corvino,
311202,127,331004,Compostezza: Arco sacrificale,
311203,128,331005,Ballata risonante: Arpa celeste,
311204,129,331037,Persistente: Arco di Amos,
311205,130,331039,Ritornello dell'addio: Elegia finale,
311206,131,331053,Insegnamenti della foresta: Scudiere del re,
311301,132,331006,Neve argentata del lutto: Spadone di ferro bianco,
311302,133,331007,Compostezza: Spadone sacrificale,
311303,134,331008,Sentiero montano: Trapasso ululante,
311304,135,331040,Squarciacieli: Orgoglio celeste,
311305,136,331041,Guardiano ribelle: Spadone del tempo,
311401,137,331009,Argento ardente: Pennacchio bianco,
311402,138,331010,Il male non prevarrà mai: Lancia litica,
311403,139,331011,Scolpendo ali nere: Lancia d'osso celeste,
311404,140,331042,Maestà dorata: Squarciavortice,
311405,141,331043,Sogno atemporale: Fulmine fagocitante,
311406,142,331054,Legno Ombradiluna: Trafiggiluna,
311501,143,331012,Compagno del viaggiatore: Spada del viaggiatore,
311502,144,331013,Compostezza: Spada sacrificale,
311503,145,331014,Lasciati guidare dal vento: Aquila Favonia,
311504,146,331044,Cielo trafitto: Lama celeste,
311505,147,331045,Vento propizio: Spada di Favonius,
312001,148,331015,Esploratore dei sentieri: Bandana dell'avventuriere,
312002,149,331016,Corona senza preoccupazioni: Corona d'argento di Fortunello,
312003,150,331017,Prassi medica: Fazzoletto della dottoressa errante,
312004,151,331018,Scommessa: Orecchini della scommettitrice,
312005,152,331019,Pre-preparato: Cappello dell'istruttore,
312006,153,331020,Discesa nobile: Corona dell'esule,
312007,154,331035,Kabuto decorato, Fulmine remoto,
312008,155,331046,Emblema del fato spezzato: Kabuto decorato,
312009,156,331036,Elmetto antico del generale, Promessa corazzata,
312010,157,331047,Perseveranza dei Milleliti: Elmetto antico del generale,
312011,158,331048,Calamità immobile: Portamento tonante,
312012,159,331049,Crepuscolo mascherato: Aldilà vermiglio,
312013,160,331050,Ricordo preponderante: Maschera capricciosa,
312014,161,331051,Iridiscenza effimera: Reminiscenza di Shimenawa,
312015,162,331055,Corona perlata: Corona di Watatsumi,
312016,163,331056,Ricordi delle profondità: Mollusco oceanico,
312017,164,331057,Generazioni sostitute: Ombra del re delle sabbie,
312101,165,331021,Canzone del ghiaccio, reame distante: Eco dell'inverno,
312102,166,331022,Errare invernale: Nomade della tormenta,
