Id,CityId,PoolId,QuestId,Type,Rarity,CenterPosition,Title,Description,Target,
10100,1,1001,0,Scene,2,Event_10100,Langkah Kecil Hilichurl,Para Hilichurl membangun kemah di alam liar untuk menyatukan kekuatan mereka. Habisi mereka sebelum ancaman mereka semakin besar.,Habisi semua musuh,
10101,1,1001,0,Scene,2,Event_10101,Langkah Kecil Hilichurl,Para Hilichurl membangun kemah di alam liar untuk menyatukan kekuatan mereka. Habisi mereka sebelum ancaman mereka semakin besar.,Habisi semua musuh,
10102,1,1001,0,Scene,2,Event_10102,Langkah Kecil Hilichurl,Para Hilichurl membangun kemah di alam liar untuk menyatukan kekuatan mereka. Habisi mereka sebelum ancaman mereka semakin besar.,Habisi semua musuh,
10103,1,1001,0,Scene,2,Event_10103,Langkah Kecil Hilichurl,Para Hilichurl membangun kemah di alam liar untuk menyatukan kekuatan mereka. Habisi mereka sebelum ancaman mereka semakin besar.,Habisi semua musuh,
10104,1,1001,0,Scene,2,Event_10104,Langkah Kecil Hilichurl,Para Hilichurl membangun kemah di alam liar untuk menyatukan kekuatan mereka. Habisi mereka sebelum ancaman mereka semakin besar.,Habisi semua musuh,
10106,1,1001,0,Scene,2,Event_10106,Krisis Besar yang Dingin!,Sekelompok Cryo Slime muncul di alam liar. Kalahkan mereka dan akhiri semua ini. Serangan Electro mungkin sangat efektif untuk mereka.,Habisi semua musuh,
10107,1,1001,0,Scene,2,Event_10107,Krisis Perisai,Sekelompok Hilichurl dengan tameng berkeliaran di alam liar. Kalahkan mereka dan akhiri semua ini. Serangan Pyro seharusnya bisa membakar tameng mereka dengan mudah.,Habisi semua musuh,
10200,1,1002,0,Scene,2,Event_10200,Kejahatan yang Menyebar,Abyss Mage terlihat melakukan ritual kepada para Hilichurl. Kalahkan mereka dan akhiri semua ini.,Habisi semua musuh,
10201,1,1002,0,Scene,2,Event_10201,Kejahatan yang Menyebar,Abyss Mage terlihat melakukan ritual kepada para Hilichurl. Kalahkan mereka dan akhiri semua ini.,Habisi semua musuh,
10202,1,1002,0,Scene,2,Event_10202,Kejahatan yang Menyebar,Abyss Mage terlihat melakukan ritual kepada para Hilichurl. Kalahkan mereka dan akhiri semua ini.,Habisi semua musuh,
