Id,CityId,PoolId,QuestId,Type,Rarity,CenterPosition,Title,Description,Target,
10100,1,1001,0,Scene,2,Event_10100,Маленький шаг для хиличурла,Хиличурлы собираются построить лагерь в окрестностях города. Не дайте им этого сделать!,Победите всех монстров,
10101,1,1001,0,Scene,2,Event_10101,Маленький шаг для хиличурла,Хиличурлы собираются построить лагерь в окрестностях города. Не дайте им этого сделать!,Победите всех монстров,
10102,1,1001,0,Scene,2,Event_10102,Маленький шаг для хиличурла,Хиличурлы собираются построить лагерь в окрестностях города. Не дайте им этого сделать!,Победите всех монстров,
10103,1,1001,0,Scene,2,Event_10103,Маленький шаг для хиличурла,Хиличурлы собираются построить лагерь в окрестностях города. Не дайте им этого сделать!,Победите всех монстров,
10104,1,1001,0,Scene,2,Event_10104,Маленький шаг для хиличурла,Хиличурлы собираются построить лагерь в окрестностях города. Не дайте им этого сделать!,Победите всех монстров,
10106,1,1001,0,Scene,2,Event_10106,Большой ледниковый кризис!,За городом появилась группа Крио слаймов. Немедленно разберитесь с этой угрозой. Электро атаки могут творить чудеса.,Победите всех монстров,
10107,1,1001,0,Scene,2,Event_10107,Кризис щитов,За городом появилась группа хиличурлов с щитами. Немедленно разберитесь с этой угрозой. Пиро атаки помогут вам избавиться от деревянных щитов.,Победите всех монстров,
10200,1,1002,0,Scene,2,Event_10200,Распространяя зло,Маг Бездны проводит злые ритуалы над хиличурлами. Немедленно разберитесь с этой угрозой.,Победите всех монстров,
10201,1,1002,0,Scene,2,Event_10201,Распространяя зло,Маг бездны проводит злые ритуалы над хиличурлами. Немедленно разберитесь с этой угрозой.,Победите всех монстров,
10202,1,1002,0,Scene,2,Event_10202,Распространяя зло,Маг бездны проводит злые ритуалы над хиличурлами. Немедленно разберитесь с этой угрозой.,Победите всех монстров,
10203,1,1002,0,Scene,2,Event_10203,Распространяя зло,Маг бездны проводит злые ритуалы над хиличурлами. Немедленно разберитесь с этой угрозой.,Победите всех монстров,
10204,1,1002,0,Scene,2,Event_10204,Распространяя зло,Маг бездны проводит злые ритуалы над хиличурлами. Немедленно разберитесь с этой угрозой.,Победите всех монстров,
10205,1,1002,0,Scene,2,Event_10205,Распространяя зло,Маг бездны проводит злые ритуалы над хиличурлами. Немедленно разберитесь с этой угрозой.,Победите всех монстров,
10206,1,1002,0,Scene,2,Event_10206,Распространяя зло,Маг бездны проводит злые ритуалы над хиличурлами. Немедленно разберитесь с этой угрозой.,Победите всех монстров,
10500,1,1002,0,Scene,2,Event_10500,Чрезвычайная ситуация,Одолейте Глаз бури, угрожающий окрестностям города.,Одолейте Глаз бури,
10502,1,1002,0,Scene,2,Event_10502,Чрезвычайная ситуация,Одолейте стража руин, угрожающего окрестностям города.,Одолейте стража руин,
10503,1,1002,0,Scene,2,Event_10503,Чрезвычайная ситуация,Одолейте стража руин, угрожающего окрестностям города.,Одолейте стража руин,
10504,1,1002,0,Scene,2,Event_10504,Чрезвычайная ситуация,Одолейте Глаз бури, угрожающий окрестностям города.,Одолейте Глаз бури,
10505,1,1002,0,Scene,2,Event_10505,Чрезвычайная ситуация,Одолейте стража руин, угрожающего окрестностям города.,Одолейте стража руин,
10506,1,1002,0,Scene,2,Event_10506,Чрезвычайная ситуация,Одолейте стража руин, угрожающего окрестностям города.,Одолейте стража руин,
10507,1,1002,0,Scene,2,Event_10507,Чрезвычайная ситуация,Одолейте Глаз бури, угрожающий окрестностям города.,Одолейте Глаз бури,
10300,1,1003,0,Scene,2,DUMMY_POS 3001 000276,Растущая угроза,Не дайте хиличурлам достроить дозорную башню в окрестностях города.,Разрушьте башни хиличурлов,
10301,1,1003,0,Scene,2,Event_10301,Растущая угроза,Не дайте хиличурлам достроить дозорную башню в окрестностях города.,Разрушьте башни хиличурлов,
10302,1,1003,0,Scene,2,Event_10302,Растущая угроза,Не дайте хиличурлам достроить дозорную башню в окрестностях города.,Разрушьте башни хиличурлов,
10303,1,1003,0,Scene,2,Event_10303,Растущая угроза,Не дайте хиличурлам достроить дозорную башню в окрестностях города.,Разрушьте башни хиличурлов,
10304,1,1003,0,Scene,2,Event_10304,Растущая угроза,Не дайте хиличурлам достроить дозорную башню в окрестностях города.,Разрушьте башни хиличурлов,
10305,1,1003,0,Scene,2,Event_10305,Растущая угроза,Не дайте хиличурлам достроить дозорную башню в окрестностях города.,Разрушьте башни хиличурлов,
10306,1,1003,0,Scene,2,Event_10306,Растущая угроза,Не дайте хиличурлам достроить дозорную башню в окрестностях города.,Разрушьте башни хиличурлов,
10400,1,1003,0,Scene,2,DUMMY_POS 3001 300100163,Пухляши-пиротехники,Хиличурлы наполняют пороховые бочки... слаймами??? Нужно их остановить!,Победите всех монстров,
10401,1,1003,0,Scene,2,Event_10401,Пухляши-пиротехники,Хиличурлы наполняют пороховые бочки... слаймами??? Нужно их остановить!,Победите всех монстров,
10402,1,1003,0,Scene,2,Event_10402,Пухляши-пиротехники,Хиличурлы наполняют пороховые бочки... слаймами??? Нужно их остановить!,Победите всех монстров,
10403,1,1003,0,Scene,2,Event_10403,Пухляши-пиротехники,Хиличурлы наполняют пороховые бочки... слаймами??? Нужно их остановить!,Победите всех монстров,
10404,1,1003,0,Scene,2,Event_10404,Пухляши-пиротехники,Хиличурлы наполняют пороховые бочки... слаймами??? Нужно их остановить!,Победите всех монстров,
10405,1,1003,0,Scene,2,Event_10405,Пухляши-пиротехники,Хиличурлы наполняют пороховые бочки... слаймами??? Нужно их остановить!,Победите всех монстров,
10700,1,1003,0,Scene,2,Event_10700,Опасные перевозки,Хиличурлы сопровождают Слаймовый аэростат с опасным грузом внутри. Разрушьте Слаймовый аэростат хиличурлов и устраните угрозу.,Уничтожьте слаймовый аэростат,
10701,1,1003,0,Scene,2,Event_10701,Опасные перевозки,Хиличурлы сопровождают Слаймовый аэростат с опасным грузом внутри. Разрушьте Слаймовый аэростат хиличурлов и устраните угрозу.,Уничтожьте слаймовый аэростат,
10702,1,1003,0,Scene,2,Event_10702,Опасные перевозки,Хиличурлы сопровождают Слаймовый аэростат с опасным грузом внутри. Разрушьте Слаймовый аэростат хиличурлов и устраните угрозу.,Уничтожьте слаймовый аэростат,
10800,1,1002,0,Scene,2,Event_10800,Полный вперёд!,Достигните финиша за отведённое время. Побеждённые по пути противники дадут вам дополнительное время.,Достигните финиша за отведённое время,
10801,1,1002,0,Scene,2,Event_10801,Полный вперёд!,Достигните финиша за отведённое время. Побеждённые по пути противники дадут вам дополнительное время.,Достигните финиша за отведённое время,
10900,1,1001,0,Scene,2,Event_10900,Безопасность прежде всего,Кажется, монстры следят за грузовым аэростатом. Не дайте монстрам завладеть грузом и сопроводите аэростат до места назначения.,Сопроводите товарный аэростат до цели,
11000,1,1003,0,Scene,2,Event_11000,Морозные неприятности,Ба-бах! Хиличурлы подрывают пороховые бочки... но почему они такие холодные? Поскорее расстройте их планы!,Победите всех монстров,
11001,1,1003,0,Scene,2,Event_11001,Морозные неприятности,Ба-бах! Хиличурлы подрывают пороховые бочки... но почему они такие холодные? Поскорее расстройте их планы!,Победите всех монстров,
11100,1,1002,0,Scene,2,Event_11100,Чрезвычайная ситуация,Одолейте лавачурла с инеевым панцирем, угрожающего окрестностям города.,Одолейте лавачурла с инеевым панцирем,
11200,1,1002,0,Scene,2,Event_11200,Полный вперёд!,Достигните финиша за отведённое время. Побеждённые по пути противники дадут вам дополнительное время.,Достигните финиша за отведённое время,
11300,1,1001,0,Scene,2,Event_11300,Неприступная оборона,Победите всех монстров и защитите монолит артерий земли.,Защитите монолит артерий земли,
11301,1,1001,0,Scene,2,Event_11301,Неприступная оборона,Победите всех монстров и защитите монолит артерий земли.,Защитите монолит артерий земли,
11400,1,1001,0,Scene,2,Event_11400,«За Предвестников!»,«За Предвестников...» Кажется, Фатуи опять что-то замышляют. Не дайте им привести свои планы в действие!,Одолейте всех врагов,
11401,1,1001,0,Scene,2,Event_11401,«За Предвестников!»,«За Предвестников...» Кажется, Фатуи опять что-то замышляют. Не дайте им привести свои планы в действие!,Одолейте всех врагов,
20500,1,2003,2000101,Quest,2,EventTest01,Здесь не пройти?,Группа хиличурлов подстерегла Куинна на дороге. Помогите ему.,Спасите Куинна,
20501,1,2003,2001101,Quest,2,Event_20501,Здесь не пройти?,Группа хиличурлов подстерегла Энтони на дороге. Помогите ему.,Спасите Энтони,
20502,1,2003,2001201,Quest,2,Event_20502,Здесь не пройти?,Группа хиличурлов подстерегла Мирану на дороге. Помогите ей.,Спасите Мирану,
20503,1,2003,2001301,Quest,2,Event_20503,Здесь не пройти?,Группа хиличурлов подстерегла Джека на дороге. Помогите ему.,Спасите Джека,
20400,1,2003,2000501,Quest,2,Q20005NPC,Ключи легко потерять,Уайатт не может нигде найти свои ключи.,Помогите Уайатту,
20401,1,2003,2002501,Quest,2,Q20025NPC,Ключи легко потерять,Уайатт не может нигде найти свои ключи.,Помогите Уайатту,
20402,1,2003,2003501,Quest,2,Q20025NPC,Ключи легко потерять,Уайатт не может нигде найти свои ключи.,Помогите Уайатту,
20403,1,2003,2001901,Quest,2,Q20005NPC,Ключи легко потерять,Уайатт не может нигде найти свои ключи.,Помогите Уайатту,
20300,1,2003,2000601,Quest,2,Event102,Доставка еды,Помогите Саре доставить еду клиенту.,Доставьте продукты Орлиан,
20301,1,2003,2001601,Quest,2,Event20301,Доставка еды,Помогите Саре доставить еду клиенту.,Доставьте еду неизвестному клиенту,
20302,1,2003,2002601,Quest,2,Event20302,Доставка еды,Помогите Саре доставить еду клиенту.,Доставьте еду заказчику,
20100,1,2003,2000709,Quest,2,Q20007NPC,Аварийный ремонт,Монстры сломали телегу Аллана. Найдите необходимые материалы, чтобы починить её.,Почините телегу Аллана,
20101,1,2003,2001709,Quest,2,Q20017NPC,Аварийный ремонт,Монстры сломали телегу Фарры. Найдите необходимые материалы, чтобы починить её.,Почините телегу Фарры,
20102,1,2003,2001809,Quest,2,Q20018NPC,Аварийный ремонт,Монстры сломали телегу Магара. Найдите необходимые материалы, чтобы починить её.,Почините телегу Магара,
20200,1,2003,2000801,Quest,1,Event_20200,Беспорядки в круглом обществе!,В доках Мондштадта внезапно появились слаймы. Направляйтесь туда и разберитесь с ними.,Разберитесь со слаймами,
20201,1,2003,2002701,Quest,2,Event_20201,Беспорядки в круглом обществе!,У винокурни «Рассвет» внезапно появились слаймы. Направляйтесь туда и разберитесь с ними.,Разберитесь со слаймами,
20202,1,2003,2002801,Quest,2,Event_20202,Беспорядки в круглом обществе!,В Спрингвейле внезапно появились слаймы. Направляйтесь туда и разберитесь с ними.,Разберитесь со слаймами,
20700,1,2003,2000909,Quest,2,Q20009NPC01,Языковой обмен,Отправляйтесь вместе с Эллой Маск в лагерь хиличурлов неподалёку. Она хочет попрактиковать их язык.,Проводите Эллу Маск в лагерь хиличурлов,
20701,1,2003,2001009,Quest,2,Q20010NPC01,Языковой обмен,Отправляйтесь вместе с Эллой Маск в лагерь хиличурлов неподалёку. Она хочет попрактиковать их язык.,Проводите Эллу Маск в лагерь хиличурлов,
